[0002df] 02df 32     LDD (HL),A     AF=0080 BC=0000 DE=00d8 HL=dfff SP=cfff P1=004000 vc=0 bI
[0002e0] 02e0 05     DEC B          AF=0080 BC=0000 DE=00d8 HL=dffe SP=cfff P1=004000 vc=0 bI
[0002e1] 02e1 20FC   JR NZ,02DFh    AF=0060 BC=ff00 DE=00d8 HL=dffe SP=cfff P1=004000 vc=0 bI
[0002e3] 02e3 21FFCF LD HL,CFFFh    AF=00c0 BC=0000 DE=00d8 HL=deff SP=cfff P1=004000 vc=0 bI
[0002e6] 02e6 0E10   LD C,10h       AF=00c0 BC=0000 DE=00d8 HL=cfff SP=cfff P1=004000 vc=0 bI
[0002e8] 02e8 0600   LD B,00h       AF=00c0 BC=0010 DE=00d8 HL=cfff SP=cfff P1=004000 vc=0 bI
[0002ea] 02ea 32     LDD (HL),A     AF=00c0 BC=0010 DE=00d8 HL=cfff SP=cfff P1=004000 vc=0 bI
[0002eb] 02eb 05     DEC B          AF=00c0 BC=0010 DE=00d8 HL=cffe SP=cfff P1=004000 vc=0 bI
[0002ec] 02ec 20FC   JR NZ,02EAh    AF=0060 BC=ff10 DE=00d8 HL=cffe SP=cfff P1=004000 vc=0 bI
[0002ee] 02ee 0D     DEC C          AF=00c0 BC=0010 DE=00d8 HL=ceff SP=cfff P1=004000 vc=0 bI
[0002ef] 02ef 20F9   JR NZ,02EAh    AF=0060 BC=000f DE=00d8 HL=ceff SP=cfff P1=004000 vc=0 bI
[0002f1] 02f1 21FF9F LD HL,9FFFh    AF=00c0 BC=0000 DE=00d8 HL=bfff SP=cfff P1=004000 vc=0 bI
[0002f4] 02f4 0E20   LD C,20h       AF=00c0 BC=0000 DE=00d8 HL=9fff SP=cfff P1=004000 vc=0 bI
[0002f6] 02f6 AF     XOR A          AF=00c0 BC=0020 DE=00d8 HL=9fff SP=cfff P1=004000 vc=0 bI
[0002f7] 02f7 0600   LD B,00h       AF=0080 BC=0020 DE=00d8 HL=9fff SP=cfff P1=004000 vc=0 bI
[0002f9] 02f9 32     LDD (HL),A     AF=0080 BC=0020 DE=00d8 HL=9fff SP=cfff P1=004000 vc=0 bI
[0002fa] 02fa 05     DEC B          AF=0080 BC=0020 DE=00d8 HL=9ffe SP=cfff P1=004000 vc=0 bI
[0002fb] 02fb 20FC   JR NZ,02F9h    AF=0060 BC=ff20 DE=00d8 HL=9ffe SP=cfff P1=004000 vc=0 bI
[0002fd] 02fd 0D     DEC C          AF=00c0 BC=0020 DE=00d8 HL=9eff SP=cfff P1=004000 vc=0 bI
[0002fe] 02fe 20F9   JR NZ,02F9h    AF=0060 BC=001f DE=00d8 HL=9eff SP=cfff P1=004000 vc=0 bI
[000300] 0300 21FFFE LD HL,FEFFh    AF=00c0 BC=0000 DE=00d8 HL=7fff SP=cfff P1=004000 vc=0 bI
[000303] 0303 0600   LD B,00h       AF=00c0 BC=0000 DE=00d8 HL=feff SP=cfff P1=004000 vc=0 bI
[000305] 0305 32     LDD (HL),A     AF=00c0 BC=0000 DE=00d8 HL=feff SP=cfff P1=004000 vc=0 bI
[000306] 0306 05     DEC B          AF=00c0 BC=0000 DE=00d8 HL=fefe SP=cfff P1=004000 vc=0 bI
[000307] 0307 20FC   JR NZ,0305h    AF=0060 BC=ff00 DE=00d8 HL=fefe SP=cfff P1=004000 vc=0 bI
[000309] 0309 21FEFF LD HL,FFFEh    AF=00c0 BC=0000 DE=00d8 HL=fdff SP=cfff P1=004000 vc=0 bI
[00030c] 030c 0680   LD B,80h       AF=00c0 BC=0000 DE=00d8 HL=fffe SP=cfff P1=004000 vc=0 bI
